"compound_name","matched_name","final_result","CID","IUPACName","MolecularFormula","MolecularWeight","KEGG_ID","HMDB_ID","CHEBI_ID","Similarity","mzcloud_Endogenous_info"
"3,4-dimethoxybenzoate","3,4-dimethoxybenzoate",TRUE,6950588,"3,4-dimethoxybenzoate","C9H9O4-",181.16,"Not_Access","Not_Access","232416",1,"Therapeutics/Prescription Drugs"
"2,2-Dihydroxy-3-phenylpropanoic acid","2,2-Dihydroxy-3-phenylpropanoic acid",TRUE,20849046,"2,2-dihydroxy-3-phenylpropanoic acid","C9H10O4",182.17,"Not_Access","HMDB0251348","Not_Access",1,NA
"Furfuryl pentanoate","Furfuryl pentanoate",TRUE,61955,"furan-2-ylmethyl pentanoate","C10H14O3",182.22,"Not_Access","HMDB0037727","179569",1,NA
"Amyl 2-furoate","Amyl 2-furoate",TRUE,74008,"pentyl furan-2-carboxylate","C10H14O3",182.22,"Not_Access","HMDB0029456","172428",1,NA
"4-(Ethoxymethyl)-2-methoxyphenol","4-(Ethoxymethyl)-2-methoxyphenol",TRUE,61586,"4-(ethoxymethyl)-2-methoxyphenol","C10H14O3",182.22,"Not_Access","HMDB0037641","179570",1,NA
"Caffeic acid","Caffeic acid",TRUE,689043,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid","C9H8O4",180.16,"C01197","HMDB0001964","16433",1,"Endogenous Metabolites"
"Tyrosine","Tyrosine",TRUE,6057,"(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid","C9H11NO3",181.19,"C00082","HMDB0000158","17895",1,"Endogenous Metabolites"
"2-Ethoxy-4-(methoxymethyl)phenol","2-Ethoxy-4-(methoxymethyl)phenol",TRUE,6453284,"2-ethoxy-4-(methoxymethyl)phenol","C10H14O3",182.22,"Not_Access","HMDB0038354","179564",1,NA
"Isoamyl 2-furoate","Isoamyl 2-furoate",TRUE,69203,"3-methylbutyl furan-2-carboxylate","C10H14O3",182.22,"Not_Access","HMDB0059891","179565",1,NA
"4-Ethyl-2,6-dimethoxyphenol","4-Ethyl-2,6-dimethoxyphenol",TRUE,61712,"4-ethyl-2,6-dimethoxyphenol","C10H14O3",182.22,"Not_Access","HMDB0033394","179568",1,NA
"10-Oxo-8-decenoic acid","10-Oxo-8-decenoic acid",TRUE,12431569,"(E)-10-oxodec-8-enoic acid","C10H16O3",184.23,"Not_Access","HMDB0040883","168922",1,NA
"N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide","N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide",TRUE,129397,"N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide","C9H16N2O2",184.24,"Not_Access","HMDB0061384","133185",1,NA
"Royal jelly acid","Royal jelly acid",TRUE,5312738,"(E)-10-hydroxydec-2-enoic acid","C10H18O3",186.25,"Not_Access","HMDB0244269","78668",1,NA
"Pivagabine","Pivagabine",TRUE,68888,"4-(2,2-dimethylpropanoylamino)butanoic acid","C9H17NO3",187.24,"Not_Access","HMDB0246575","134834",1,NA
"2-Butenyl-4-methyl-threonine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8-Amino-7-oxononanoate","8-Amino-7-oxononanoate",TRUE,5460197,"8-amino-7-oxononanoate","C9H16NO3-",186.23,"Not_Access","Not_Access","12266",1,NA
"Prolylalanine","Prolylalanine",TRUE,418041,"2-(pyrrolidine-2-carbonylamino)propanoic acid","C8H14N2O3",186.21,"Not_Access","HMDB0029010","Not_Access",1,NA
"2-Oxosuberate","2-Oxosuberate",TRUE,146903,"2-oxooctanedioic acid","C8H12O5",188.18,"C16589","Not_Access","80587",1,NA
"Azelaic acid","Azelaic acid",TRUE,2266,"nonanedioic acid","C9H16O4",188.22,"C08261","HMDB0000784","48131",1,"Endogenous Metabolites"
"propyl 2-acetylpentanoate","propyl 2-acetylpentanoate",TRUE,88638897,"propyl 2-acetylpentanoate","C10H18O3",186.25,"Not_Access","Not_Access","Not_Access",1,NA
"Cyclohexyl propan-2-yl carbonate","Cyclohexyl propan-2-yl carbonate",TRUE,22123692,"cyclohexyl propan-2-yl carbonate","C10H18O3",186.25,"Not_Access","HMDB0250658","Not_Access",1,NA
"2-Oxodecanoic acid","2-Oxodecanoic acid",TRUE,259794,"2-oxodecanoic acid","C10H18O3",186.25,"C13945","Not_Access","34301",1,NA
"6-Acetamido-3-aminohexanoate","6-Acetamido-3-aminohexanoate",TRUE,5459888,"6-acetamido-3-aminohexanoate","C8H15N2O3-",187.22,"Not_Access","Not_Access","17125",1,NA
"gamma-glutamyl-isopropylamide","gamma-glutamyl-isopropylamide",TRUE,6993183,"(2S)-2-azaniumyl-5-oxo-5-(propan-2-ylamino)pentanoate","C8H16N2O3",188.22,"Not_Access","Not_Access","85420",1,NA
"N-(3-Amino-3-oxopropyl)-valine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alanyl-valine","alanyl-valine",TRUE,96799,"(2S)-2-[[(2S)-2-aminopropanoyl]amino]-3-methylbutanoic acid","C8H16N2O3",188.22,"Not_Access","HMDB0028700","73809",1,NA
"glycyl-isoleucine","glycyl-isoleucine",TRUE,88079,"(2S,3S)-2-[(2-aminoacetyl)amino]-3-methylpentanoic acid","C8H16N2O3",188.22,"Not_Access","Not_Access","73907",1,NA
"N2-Acetyl-lysine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glycylleucine","Glycylleucine",TRUE,102468,"2-[(2-aminoacetyl)amino]-4-methylpentanoic acid","C8H16N2O3",188.22,"Not_Access","Not_Access","Not_Access",1,NA
"Butyl ethyl malonate","Butyl ethyl malonate",TRUE,5140436,"3-O-butyl 1-O-ethyl propanedioate","C9H16O4",188.22,"Not_Access","HMDB0036233","173898",1,NA
"Citric acid","Citric acid",TRUE,311,"2-hydroxypropane-1,2,3-tricarboxylic acid","C6H8O7",192.12,"C00158","HMDB0000094","30769",1,"Endogenous Metabolites"
"Ligustilide","Ligustilide",TRUE,5319022,"(3Z)-3-butylidene-4,5-dihydro-2-benzofuran-1-one","C12H14O2",190.24,"C16987","HMDB0259970","68232",1,NA
"Diethyltoluamide","Diethyltoluamide",TRUE,4284,"N,N-diethyl-3-methylbenzamide","C12H17NO",191.27,"C10935","HMDB0250930","7071",1,NA
"Isobutyl salicylate","Isobutyl salicylate",TRUE,6873,"2-methylpropyl 2-hydroxybenzoate","C11H14O3",194.23,"Not_Access","HMDB0036432","173947",1,NA
"Butylparaben","Butylparaben",TRUE,7184,"butyl 4-hydroxybenzoate","C11H14O3",194.23,"Not_Access","HMDB0032575","88542",1,"Excipients/Additives/Colorants"
"Benzyl acetoacetate","Benzyl acetoacetate",TRUE,142266,"benzyl 3-oxobutanoate","C11H12O3",192.21,"Not_Access","HMDB0040446","173928",1,NA
"Isomyristicin","Isomyristicin",TRUE,6436484,"4-methoxy-6-[(E)-prop-1-enyl]-1,3-benzodioxole","C11H12O3",192.21,"Not_Access","HMDB0035275","173923",1,NA
"Myristicin","Myristicin",TRUE,4276,"4-methoxy-6-prop-2-enyl-1,3-benzodioxole","C11H12O3",192.21,"C10480","HMDB0035873","68234",1,"Endogenous Metabolites"
"Isobutylparaben","Isobutylparaben",TRUE,20240,"2-methylpropyl 4-hydroxybenzoate","C11H14O3",194.23,"C20342","HMDB0253608","178256",1,NA
"Butyl salicylate","Butyl salicylate",TRUE,16330,"butyl 2-hydroxybenzoate","C11H14O3",194.23,"Not_Access","HMDB0040730","173949",1,NA
"3-Methylbutyl benzoate","3-Methylbutyl benzoate",TRUE,7193,"3-methylbutyl benzoate","C12H16O2",192.25,"Not_Access","HMDB0033380","179910",1,NA
"1-Phenylethyl isobutyrate","1-Phenylethyl isobutyrate",TRUE,569214,"1-phenylethyl 2-methylpropanoate","C12H16O2",192.25,"Not_Access","HMDB0037716","179913",1,NA
"4-Methylphenyl 3-methylbutanoate","4-Methylphenyl 3-methylbutanoate",TRUE,62092,"(4-methylphenyl) 3-methylbutanoate","C12H16O2",192.25,"Not_Access","HMDB0037709","179912",1,NA
"Sedanonic acid lactone","Sedanonic acid lactone",TRUE,10932278,"(3Z)-3-butylidene-4,5,6,7-tetrahydro-2-benzofuran-1-one","C12H16O2",192.25,"C17875","Not_Access","133890",1,NA
"2-Methylpropyl 2-aminobenzoate","2-Methylpropyl 2-aminobenzoate",TRUE,24515,"2-methylpropyl 2-aminobenzoate","C11H15NO2",193.24,"Not_Access","HMDB0035072","179249",1,NA
"Butyl 2-aminobenzoate","Butyl 2-aminobenzoate",TRUE,24433,"butyl 2-aminobenzoate","C11H15NO2",193.24,"Not_Access","HMDB0036906","86192",1,NA
"Caffeine","Caffeine",TRUE,2519,"1,3,7-trimethylpurine-2,6-dione","C8H10N4O2",194.19,"C07481","HMDB0001847","27732",1,"Endogenous Metabolites"
"Xanthoxylin","Xanthoxylin",TRUE,66654,"1-(2-hydroxy-4,6-dimethoxyphenyl)ethanone","C10H12O4",196.2,"C10726","HMDB0029645","10070",1,NA
"Isobutyl 2-furanpropionate","Isobutyl 2-furanpropionate",TRUE,7733,"2-methylpropyl 3-(furan-2-yl)propanoate","C11H16O3",196.24,"Not_Access","HMDB0037734","169336",1,NA
"Hexyl 2-furoate","Hexyl 2-furoate",TRUE,61984,"hexyl furan-2-carboxylate","C11H16O3",196.24,"Not_Access","HMDB0037725","169465",1,NA
"1-(2-Furanyl)-1-octanone","1-(2-Furanyl)-1-octanone",TRUE,228593,"1-(furan-2-yl)octan-1-one","C12H18O2",194.27,"Not_Access","HMDB0040439","229406",1,NA
"4-Hexyloxyphenol","4-Hexyloxyphenol",TRUE,29354,"4-hexoxyphenol","C12H18O2",194.27,"C14305","Not_Access","34407",1,"Extractables/Leachables"
"Ethyl Decatrienoate",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dodecatrienoic acid","Dodecatrienoic acid",TRUE,87558245,"(2E,4E,6E)-dodeca-2,4,6-trienoic acid","C12H18O2",194.27,"Not_Access","HMDB0302622","Not_Access",1,NA
"3-(prop-1-en-2-yl)heptanedioate","3-(prop-1-en-2-yl)heptanedioate",TRUE,46173095,"3-prop-1-en-2-ylheptanedioate","C10H14O4-2",198.22,"Not_Access","Not_Access","Not_Access",1,NA
"9-Hydroxy-10-undecenoic acid","(S)-9-Hydroxy-10-undecenoic acid",TRUE,73242170,"(9S)-9-hydroxyundec-10-enoic acid","C11H20O3",200.27,"Not_Access","Not_Access","165422",0.9333,NA
"3-Nonanon-1-yl acetate","3-Nonanon-1-yl acetate",TRUE,12678469,"3-oxononyl acetate","C11H20O3",200.27,"Not_Access","HMDB0037179","174008",1,NA
"Diethyl 2-methyl-3-oxosuccinate","Diethyl 2-methyl-3-oxosuccinate",TRUE,97750,"diethyl 2-methyl-3-oxobutanedioate","C9H14O5",202.2,"C04067","HMDB0032306","16879",1,NA
"Sebacic acid","Sebacic acid",TRUE,5192,"decanedioic acid","C10H18O4",202.25,"C08277","HMDB0000792","41865",1,"Endogenous Metabolites"
"Glutamic acid diethyl ester","Glutamic acid diethyl ester",TRUE,73961,"diethyl (2S)-2-aminopentanedioate","C9H17NO4",203.24,"Not_Access","Not_Access","Not_Access",1,NA
"2-amino-3-[indol-3-ylidene]propanoate",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IPA imine","IPA imine",TRUE,5599,"2-imino-3-(1H-indol-3-yl)propanoic acid","C11H10N2O2",202.21,"C21124","Not_Access","59193",1,NA
"alpha,beta-Didehydrotryptophan","alpha,beta-Didehydrotryptophan",TRUE,5280990,"(Z)-2-amino-3-(1H-indol-3-yl)prop-2-enoic acid","C11H10N2O2",202.21,"C06732","Not_Access","15802",1,NA
"n2-Acetyl,n6-methyllysine","n2-Acetyl,n6-methyllysine",TRUE,131864122,"(2S)-2-acetamido-6-(methylamino)hexanoic acid","C9H18N2O3",202.25,"Not_Access","HMDB0242186","232957",1,NA
"N2-acetyl-Lysine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"isoleucyl-alanine","isoleucyl-alanine",TRUE,7009577,"(2S)-2-[[(2S,3S)-2-amino-3-methylpentanoyl]amino]propanoic acid","C9H18N2O3",202.25,"Not_Access","Not_Access","74062",1,NA
"alanyl-isoleucine","alanyl-isoleucine",TRUE,7408079,"(2S,3S)-2-[[(2S)-2-aminopropanoyl]amino]-3-methylpentanoic acid","C9H18N2O3",202.25,"Not_Access","HMDB0028690","73805",1,NA
"alanyl-leucine","alanyl-leucine",TRUE,96801,"(2S)-2-[[(2S)-2-aminopropanoyl]amino]-4-methylpentanoic acid","C9H18N2O3",202.25,"Not_Access","HMDB0028691","73770",1,NA
"N-alpha-acetyl lysine methyl ester","N-Alpha-acetyllysine",TRUE,192590,"2-acetamido-6-aminohexanoic acid","C8H16N2O3",188.22,"Not_Access","Not_Access","Not_Access",0.7407,NA
"Spermine","Spermine",TRUE,1103,"N,N'-bis(3-aminopropyl)butane-1,4-diamine","C10H26N4",202.34,"C00750","HMDB0001256","15746",1,"Endogenous Metabolites"
"2-Hydroxyglutaric acid diethyl ester","2-Hydroxyglutaric acid diethyl ester",TRUE,13270883,"diethyl 2-hydroxypentanedioate","C9H16O5",204.22,"Not_Access","HMDB0303910","87295",1,NA
"Diethyl 2-methyl-3-hydroxysuccinate",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oxalic acid dibutyl ester","Oxalic acid dibutyl ester",TRUE,16306,"dibutyl oxalate","C10H18O4",202.25,"Not_Access","HMDB0040196","169625",1,NA
"Acetylcarnitine (C2:0)","acetylcarnitine",TRUE,7045767,"(3R)-3-acetyloxy-4-(trimethylazaniumyl)butanoate","C9H17NO4",203.24,"Not_Access","HMDB0000201","57589",0.8108,"Endogenous Metabolites"
"N5-(1-carboxyethyl)-ornithine","N5-(1-carboxyethyl)-ornithine",TRUE,21130406,"(2S)-2-amino-5-(1-carboxyethylamino)pentanoic acid","C8H16N2O4",204.22,"Not_Access","Not_Access","Not_Access",1,NA
"N-(gamma-glutamyl)-alaninol",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N6-Acetyl-5S-hydroxy-lysine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diethyl tartrate","Diethyl tartrate",TRUE,62333,"diethyl 2,3-dihydroxybutanedioate","C8H14O6",206.19,"Not_Access","HMDB0033584","169338",1,NA
"Tryptophan","Tryptophan",TRUE,6305,"(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid","C11H12N2O2",204.22,"C00078","HMDB0000929","16828",1,"Endogenous Metabolites"
"Xanthurenic acid","Xanthurenic acid",TRUE,5699,"8-hydroxy-4-oxo-1H-quinoline-2-carboxylic acid","C10H7NO4",205.17,"C02470","HMDB0000881","10072",1,"Endogenous Metabolites"
"Monoethylglycinexylidide (MEGX)","Monoethylglycinexylidide",TRUE,24415,"N-(2,6-dimethylphenyl)-2-(ethylamino)acetamide","C12H18N2O",206.28,"C16561","HMDB0060656","222828",0.8727,"Therapeutics/Prescription Drugs"
"3-Methylbutyl phenylacetate","3-Methylbutyl phenylacetate",TRUE,7600,"3-methylbutyl 2-phenylacetate","C13H18O2",206.28,"Not_Access","HMDB0035008","191542",1,NA
"2-Phenylpropyl butyrate","2-Phenylpropyl butyrate",TRUE,576263,"2-phenylpropyl butanoate","C13H18O2",206.28,"Not_Access","HMDB0034469","Not_Access",1,NA
"2-Phenylpropyl isobutyrate","2-Phenylpropyl isobutyrate",TRUE,576240,"2-phenylpropyl 2-methylpropanoate","C13H18O2",206.28,"Not_Access","HMDB0034470","Not_Access",1,NA
"1-Phenylpropyl butyrate","1-Phenylpropyl butyrate",TRUE,61447,"1-phenylpropyl butanoate","C13H18O2",206.28,"Not_Access","HMDB0036386","Not_Access",1,NA
"2-Phenylethyl 2-methylbutanoate","2-Phenylethyl 2-methylbutanoate",TRUE,520148,"2-phenylethyl 2-methylbutanoate","C13H18O2",206.28,"Not_Access","HMDB0037720","Not_Access",1,NA
"Benzyl hexanoate","Benzyl hexanoate",TRUE,23367,"benzyl hexanoate","C13H18O2",206.28,"Not_Access","HMDB0032176","Not_Access",1,NA
"3-(Dimethylamino)propyl benzoate","3-(Dimethylamino)propyl benzoate",TRUE,2249229,"3-(dimethylamino)propyl benzoate","C12H17NO2",207.27,"C14168","Not_Access","34327",1,NA
"Kynurenine","Kynurenine",TRUE,846,"2-amino-4-(2-aminophenyl)-4-oxobutanoic acid","C10H12N2O3",208.21,"C01718","HMDB0250769","28683",1,"Endogenous Metabolites"
"Benzyl 2-methyl-3-hydroxybutanoate","Benzyl 2-methyl-3-hydroxybutanoate",TRUE,3376636,"benzyl 3-hydroxy-2-methylbutanoate","C12H16O3",208.25,"Not_Access","Not_Access","22748",1,NA
"2-Phenoxyethyl isobutyrate","2-Phenoxyethyl isobutyrate",TRUE,61005,"2-phenoxyethyl 2-methylpropanoate","C12H16O3",208.25,"Not_Access","HMDB0040218","173600",1,NA
"Isoamyl salicylate","Isoamyl salicylate",TRUE,6874,"3-methylbutyl 2-hydroxybenzoate","C12H16O3",208.25,"Not_Access","HMDB0040225","173601",1,NA
"Amyl salicylate","Amyl salicylate",TRUE,16299,"pentyl 2-hydroxybenzoate","C12H16O3",208.25,"Not_Access","HMDB0038604","88386",1,NA
"4-Heptyloxyphenol","4-Heptyloxyphenol",TRUE,25641,"4-heptoxyphenol","C13H20O2",208.3,"C14236","HMDB0246434","34406",1,NA
"5,6-Epoxy-7-megastigmen-9-one",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leucylproline (Leu-Pro)","Leucylproline",TRUE,80817,"(2S)-1-[(2S)-2-amino-4-methylpentanoyl]pyrrolidine-2-carboxylic acid","C11H20N2O3",228.29,"Not_Access","HMDB0011175","73580",0.7222,"Endogenous Metabolites"
"3,4-Methyleneazelaic acid","3,4-Methyleneazelaic acid",TRUE,122517586,"3,4-dimethylidenenonanedioic acid","C11H16O4",212.24,"Not_Access","HMDB0059744","89902",1,NA
"4-(Butoxymethyl)-2-methoxyphenol","4-(Butoxymethyl)-2-methoxyphenol",TRUE,5084146,"4-(butoxymethyl)-2-methoxyphenol","C12H18O3",210.27,"Not_Access","HMDB0037642","Not_Access",1,NA
"Isoamyl 2-furonpropionate","Isoamyl 2-furonpropionate",TRUE,538506,"3-methylbutyl 3-(furan-2-yl)propanoate","C12H18O3",210.27,"Not_Access","HMDB0037735","230789",1,NA
"Jasmonic acid","Jasmonic acid",TRUE,5281166,"2-[(1R,2R)-3-oxo-2-[(Z)-pent-2-enyl]cyclopentyl]acetic acid","C12H18O3",210.27,"C08491","HMDB0032797","18292",1,"Endogenous Metabolites"
"Traumatin","Traumatin",TRUE,5312889,"(E)-12-oxododec-10-enoic acid","C12H20O3",212.28,"C16309","HMDB0037326","19144",1,NA
"Dihydrojasmonic acid","Dihydrojasmonic acid",TRUE,107126,"2-(3-oxo-2-pentylcyclopentyl)acetic acid","C12H20O3",212.28,"Not_Access","HMDB0033601","177664",1,NA
"Cucurbic acid","Cucurbic acid",TRUE,6123064,"2-[3-hydroxy-2-[(E)-pent-2-enyl]cyclopentyl]acetic acid","C12H20O3",212.28,"Not_Access","HMDB0029388","Not_Access",1,NA
"Val-Val","Val-Val",TRUE,107475,"(2S)-2-[[(2S)-2-amino-3-methylbutanoyl]amino]-3-methylbutanoic acid","C10H20N2O3",216.28,"Not_Access","HMDB0029140","73704",1,NA
"Prolyl-Valine","Prolyl-Valine",TRUE,152307,"(2S)-3-methyl-2-[[(2S)-pyrrolidine-2-carbonyl]amino]butanoic acid","C10H18N2O3",214.26,"Not_Access","Not_Access","74800",1,NA
"Valylproline","Valylproline",TRUE,9837272,"(2S)-1-[(2S)-2-amino-3-methylbutanoyl]pyrrolidine-2-carboxylic acid","C10H18N2O3",214.26,"Not_Access","HMDB0029135","73701",1,"Endogenous Metabolites"
"ExMrn00094252",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butyl butyryllactate","Butyl butyryllactate",TRUE,24114,"(1-butoxy-1-oxopropan-2-yl) butanoate","C11H20O4",216.27,"Not_Access","HMDB0037137","168668",1,NA
"Undecanedioic acid","Undecanedioic acid",TRUE,15816,"undecanedioic acid","C11H20O4",216.27,"Not_Access","HMDB0000888","73713",1,NA
"Glycerophosphoethanolamine","glycerophosphoethanolamine",TRUE,123874,"2-aminoethyl 2,3-dihydroxypropyl hydrogen phosphate","C5H14NO6P",215.14,"Not_Access","HMDB0000114","52330",1,NA
"2-Hydroxydecanedioic acid","2-Hydroxydecanedioic acid",TRUE,128458,"2-hydroxydecanedioic acid","C10H18O5",218.25,"Not_Access","HMDB0000424","89312",1,NA
"Propionylcarnitine (C3:0)","Propionylcarnitine",TRUE,107738,"3-propanoyloxy-4-(trimethylazaniumyl)butanoate","C10H19NO4",217.26,"C03017","Not_Access","28867",0.8372,"Endogenous Metabolites"
"Pantothenic acid","Pantothenic acid",TRUE,6613,"3-[[(2R)-2,4-dihydroxy-3,3-dimethylbutanoyl]amino]propanoic acid","C9H17NO5",219.23,"C00864","HMDB0000210","46905",1,"Endogenous Metabolites"
"Ala-Gln","Ala-Gln",TRUE,123935,"(2S)-5-amino-2-[[(2S)-2-aminopropanoyl]amino]-5-oxopentanoic acid","C8H15N3O4",217.22,"Not_Access","HMDB0028685","73788",1,NA
"Carboxyethyllysine","Carboxyethyllysine",TRUE,22088197,"(2S)-6-amino-2-(2-carboxyethylamino)hexanoic acid","C9H18N2O4",218.25,"Not_Access","Not_Access","Not_Access",1,NA
"N(epsilon)-(carboxyethyl)lysine","N(epsilon)-(carboxyethyl)lysine",TRUE,49852413,"2-amino-6-(2-carboxyethylamino)hexanoic acid","C9H18N2O4",218.25,"Not_Access","HMDB0255289","61063",1,NA
"epsilon-(Carboxyethyl)lysine","epsilon-(Carboxyethyl)lysine",TRUE,53649894,"(2S)-2,6-diaminononanedioic acid","C9H18N2O4",218.25,"Not_Access","Not_Access","195572",1,NA
"Lysopine","Lysopine",TRUE,193187,"(2S)-6-amino-2-[[(1R)-1-carboxyethyl]amino]hexanoic acid","C9H18N2O4",218.25,"C04020","Not_Access","17213",1,NA
"leucyl-serine","leucyl-serine",TRUE,6992130,"(2S)-2-[[(2S)-2-amino-4-methylpentanoyl]amino]-3-hydroxypropanoic acid","C9H18N2O4",218.25,"Not_Access","Not_Access","73523",1,NA
"N(1-Carboxyethyl)-lysine","N(epsilon)-(1-carboxyethyl)lysine",TRUE,23400779,"(2S)-2-amino-6-(1-carboxyethylamino)hexanoic acid","C9H18N2O4",218.25,"Not_Access","Not_Access","60125",0.807,NA
"seryl-leucine","seryl-leucine",TRUE,7015695,"(2S)-2-[[(2S)-2-amino-3-hydroxypropanoyl]amino]-4-methylpentanoic acid","C9H18N2O4",218.25,"Not_Access","HMDB0029043","74815",1,NA
"N-hydroxy-N-succinylcadaverine","N-hydroxy-N-succinylcadaverine",TRUE,10398471,"4-[5-aminopentyl(hydroxy)amino]-4-oxobutanoic acid","C9H18N2O4",218.25,"C22915","Not_Access","50443",1,NA
"Cinnamyl isovalerate","Cinnamyl isovalerate",TRUE,5355855,"[(E)-3-phenylprop-2-enyl] 3-methylbutanoate","C14H18O2",218.29,"Not_Access","Not_Access","Not_Access",1,NA
"cis-3-Hexenyl phenylacetate","cis-3-Hexenyl phenylacetate",TRUE,5367698,"[(Z)-hex-3-enyl] 2-phenylacetate","C14H18O2",218.29,"Not_Access","HMDB0038281","Not_Access",1,NA
"Dimethylbenzyl carbinyl crotonate","Dimethylbenzyl carbinyl crotonate",TRUE,16205756,"(2-methyl-1-phenylpropan-2-yl) (E)-but-2-enoate","C14H18O2",218.29,"Not_Access","HMDB0032227","180845",1,NA
"Isoamyl cinnamate","Isoamyl cinnamate",TRUE,5273467,"3-methylbutyl (E)-3-phenylprop-2-enoate","C14H18O2",218.29,"Not_Access","Not_Access","191650",1,NA
"Valylcysteine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cysteinyl-Valine","Cysteinyl-Valine",TRUE,20032849,"2-[(2-amino-3-sulfanylpropanoyl)amino]-3-methylbutanoic acid","C8H16N2O3S",220.29,"Not_Access","HMDB0028788","174119",1,NA
"alanyl-methionine","alanyl-methionine",TRUE,85744,"(2S)-2-[[(2S)-2-aminopropanoyl]amino]-4-methylsulfanylbutanoic acid","C8H16N2O3S",220.29,"Not_Access","HMDB0028693","73806",1,NA
"Phenylalanylglycine","Phenylalanylglycine",TRUE,6992304,"2-[[(2S)-2-amino-3-phenylpropanoyl]amino]acetic acid","C11H14N2O3",222.24,"Not_Access","HMDB0028995","73635",1,NA
"1,2-Dimethoxy-4-[2-(2-propenyloxy)ethenyl]-benzene","1,2-Dimethoxy-4-[2-(2-propenyloxy)ethenyl]-benzene",TRUE,5282103,"1,2-dimethoxy-4-[(E)-2-prop-2-enoxyethenyl]benzene","C13H16O3",220.26,"C12263","Not_Access","31036",1,NA
"propyl 3-oxo-2-phenylbutanoate","propyl 3-oxo-2-phenylbutanoate",TRUE,89623386,"propyl 3-oxo-2-phenylbutanoate","C13H16O3",220.26,"Not_Access","Not_Access","Not_Access",1,NA
"Ethyl 2-benzylacetoacetate","Ethyl 2-benzylacetoacetate",TRUE,246929,"ethyl 2-benzyl-3-oxobutanoate","C13H16O3",220.26,"Not_Access","HMDB0040424","168288",1,NA
"3-Hexenyl salicylic acid","3-Hexenyl salicylic acid",TRUE,6021887,"[(E)-hex-3-enyl] 2-hydroxybenzoate","C13H16O3",220.26,"Not_Access","HMDB0061823","88591",1,NA
"8-phenyloctanoate","8-phenyloctanoate",TRUE,7021864,"8-phenyloctanoate","C14H19O2-",219.3,"Not_Access","Not_Access","Not_Access",1,NA
"2-Methyl-1-phenyl-2-propanyl butyrate","2-Methyl-1-phenyl-2-propanyl butyrate",TRUE,24915,"(2-methyl-1-phenylpropan-2-yl) butanoate","C14H20O2",220.31,"Not_Access","HMDB0040226","185847",1,NA
"Hexyl phenylacetate","Hexyl phenylacetate",TRUE,221691,"hexyl 2-phenylacetate","C14H20O2",220.31,"Not_Access","HMDB0037714","191568",1,"Therapeutics/Prescription Drugs"
"Hexyl salicylic acid","Hexyl salicylic acid",TRUE,22629,"hexyl 2-hydroxybenzoate","C13H18O3",222.28,"Not_Access","HMDB0061943","88836",1,NA
"3,4-Methylenesebacic acid","3,4-Methylenesebacic acid",TRUE,124202122,"3,4-dimethylidenedecanedioic acid","C12H18O4",226.27,"Not_Access","HMDB0059729","89935",1,NA
"Octyl 2-furoate","Octyl 2-furoate",TRUE,62901,"octyl furan-2-carboxylate","C13H20O3",224.3,"Not_Access","HMDB0037726","174156",1,NA
"9-hydroxy traumatin","9-hydroxy traumatin",TRUE,122706549,"(E)-9-hydroxy-12-oxododec-10-enoate","C12H19O4-",227.28,"Not_Access","Not_Access","Not_Access",1,NA
"5-Heptyltetrahydro-2-oxo-3-furancarboxylic acid","5-Heptyltetrahydro-2-oxo-3-furancarboxylic acid",TRUE,18371062,"5-heptyl-2-oxooxolane-3-carboxylic acid","C12H20O4",228.28,"Not_Access","HMDB0030994","169601",1,NA
"11-hydroxy-traumatin","11-hydroxy-traumatin",TRUE,122706327,"(Z)-11-hydroxy-12-oxododec-9-enoate","C12H19O4-",227.28,"Not_Access","Not_Access","Not_Access",1,NA
"Traumatic acid","Traumatic acid",TRUE,5283028,"(E)-dodec-2-enedioic acid","C12H20O4",228.28,"C16308","HMDB0000933","545687",1,NA
"Prolylhydroxyproline","Prolylhydroxyproline",TRUE,11902893,"(2S,4R)-4-hydroxy-1-[(2S)-pyrrolidine-2-carbonyl]pyrrolidine-2-carboxylic acid","C10H16N2O4",228.24,"Not_Access","HMDB0006695","74767",1,NA
